8470.98,LE CHEMIN DE JAULGONNE,02850,Trélou-sur-Marne,,3.584803,49.080283
29395,LES BOULEAUX,02810,Marigny-en-Orxois,,3.206753,49.062128
90000,LE VILLAGE,02210,Nanteuil-Notre-Dame,,3.409832,49.190785
25000,LES ETERNOTS,02400,Essômes-sur-Marne,,3.372593,49.027681
84474.2,RUE DE MAUSSION,02650,Fossoy,91,3.482514,49.047617
690900,LES MOUCHETTES,02650,Crézancy,,3.524109,49.052641
2350,LA BONNETIERE,02310,Pavant,,3.27402,48.948654
14100,MONTCHEVRET,02330,Vallées en Champagne,,3.602633,49.002976
1000,LES PUETS,03500,Châtel-de-Neuvre,,3.303951,46.426868
65000,LE GRAND PRE,03220,Vaumas,,3.632515,46.447792
7000,LES BRUYERES DES BROSSES,03400,Yzeure,,3.369249,46.533117
48000,CHE DU PAL,03290,Dompierre-sur-Besbre,,3.672147,46.511695
143000,LE BOURG,03000,Avermes,,3.304733,46.587332
8557.5,PLANTE BILLOT,03500,Meillard,66,3.24643,46.40469
53000,RUE DES MINIMES,03000,Moulins,,,
238000,RUE DU LT COLONEL DUBOST,03160,Bourbon-l'Archambault,79,3.059256,46.58646
191144,RUE DES FONDS DE MICHELET,03400,Yzeure,,,
65000,LE BOURG,03340,Saint-Gérand-de-Vaux,,3.39678,46.379969
57000,LE MAROC,03460,Villeneuve-sur-Allier,,3.249802,46.662429
132000,LE PETIT BOIS DE LEPAUD,03210,Saint-Menoux,160,3.128491,46.592689
335000,PEUGERE,03290,Saint-Pourçain-sur-Besbre,,3.604483,46.484722
110000,CHE DE LA SAULNIERE,03470,Pierrefitte-sur-Loire,46,3.813103,46.501349
11600,RUE DE LA REPUBLIQUE,03400,Yzeure,12,3.341887,46.557705
71500,CHE DES COMMUNES,03290,Dompierre-sur-Besbre,60,3.667869,46.528059
150000,LES CANTINS,03000,Montilly,,3.251084,46.612323
23000,LES CHAUCROINS,03340,Bessay-sur-Allier,,3.405754,46.427473
1130,LA SAULCE,04250,Bayons,,6.124418,44.304438
65000,GRAND CHEM DE CHAMPTERCIER,04660,Champtercier,65,6.172047,44.08525
